crime_id,date,category,description,latitude,longitude,location_description,arrest,domestic,district,ward,arrest_probability,risk_score,risk_level
CR-2024-002296,2025-03-27 23:57:55,MOTOR VEHICLE THEFT,MOTORCYCLE,41.79254466783831,-87.68328928511902,RESIDENCE,False,False,D-07,W-18,0.1531788774665024,0.5645,HIGH
CR-2025-005903,2023-09-29 16:40:58,THEFT,FROM BUILDING,41.85676912254248,-87.62657452085585,APARTMENT,False,False,D-02,W-50,0.10374758592962166,0.4183,MEDIUM
CR-2025-003740,2024-01-07 08:39:40,MOTOR VEHICLE THEFT,MOTORCYCLE,41.94389013153331,-87.64938976616818,PARK,False,False,D-10,W-37,0.20394422002983822,0.5307,HIGH
CR-2023-000381,2023-02-25 20:06:27,ROBBERY,STRONGARM ROBBERY,41.999601690765374,-87.65722119799449,STREET,False,False,D-11,W-20,0.15413785877354144,0.8459,CRITICAL
CR-2025-003773,2023-12-20 03:19:15,CRIMINAL DAMAGE,GRAFFITI,41.88081352822525,-87.74455418415144,STREET,False,False,D-10,W-27,0.15136912090961402,0.396,MEDIUM
CR-2023-005364,2024-04-27 20:54:45,BURGLARY,RESIDENTIAL,41.83935672947609,-87.74685294763434,RESIDENCE,False,False,D-05,W-05,0.10063625785433233,0.5996,HIGH
CR-2025-000974,2023-11-16 00:30:59,THEFT,RETAIL THEFT,41.89499075376158,-87.63057090585383,RESIDENCE,False,False,D-05,W-04,0.08073015546538347,0.429,MEDIUM
CR-2024-002251,2024-10-31 09:00:20,MOTOR VEHICLE THEFT,TRUCK,41.85209540898382,-87.71946601958152,RESIDENCE,False,True,D-01,W-12,0.155612340448204,0.5629,HIGH
CR-2023-004584,2023-03-04 06:26:28,THEFT,FROM BUILDING,41.95385267028639,-87.64845548841151,PARK,False,False,D-02,W-19,0.19180374316623514,0.3772,MEDIUM
CR-2025-000728,2023-09-23 04:05:47,BATTERY,DOMESTIC BATTERY,41.96346683242209,-87.64767683230234,ALLEY,True,True,D-12,W-43,0.7759765692803267,0.224,LOW
CR-2023-005943,2024-08-26 11:28:54,NARCOTICS,POSSESSION OF HEROIN,41.876290354488056,-87.63504828023684,PARKING LOT,False,False,D-09,W-32,0.7657949353785711,0.1561,LOW
CR-2025-001409,2025-02-14 00:10:23,MOTOR VEHICLE THEFT,AUTOMOBILE,41.88400695947325,-87.65871508869019,APARTMENT,False,False,D-13,W-22,0.16622513482386486,0.5558,HIGH
CR-2025-002654,2025-10-08 09:59:08,MOTOR VEHICLE THEFT,AUTOMOBILE,41.93322058602193,-87.67487481672619,RESIDENCE,True,False,D-13,W-46,0.14328834321306566,0.5711,HIGH
CR-2024-004477,2023-02-11 16:16:22,NARCOTICS,POSSESSION OF HEROIN,41.77184398520192,-87.60273064273821,SIDEWALK,False,False,D-01,W-08,0.7889816952159092,0.1407,LOW
CR-2025-005177,2024-08-06 10:24:11,BURGLARY,FORCIBLE ENTRY,41.962286527622986,-87.60384495221511,SIDEWALK,False,False,D-09,W-07,0.15010979744366895,0.5666,HIGH
CR-2024-005209,2025-04-08 01:49:55,ASSAULT,SIMPLE ASSAULT,41.965498078452725,-87.65511209290848,RESIDENCE,False,False,D-13,W-11,0.11656756074734043,0.8834,CRITICAL
CR-2023-003600,2023-02-22 14:15:12,NARCOTICS,POSSESSION OF COCAINE,41.95119303348432,-87.65399950737623,RESIDENCE,True,False,D-05,W-49,0.7989202281257926,0.1341,LOW
CR-2025-004253,2023-06-21 15:43:11,ROBBERY,STRONGARM ROBBERY,41.893823059515135,-87.64237264723498,PARKING LOT,False,False,D-06,W-02,0.15207138314042268,0.8479,CRITICAL
CR-2023-005079,2023-10-20 20:45:17,ASSAULT,AGGRAVATED ASSAULT,41.88563819369681,-87.61161863921016,PARKING LOT,False,True,D-01,W-50,0.1260679177375364,0.8739,CRITICAL
CR-2025-001481,2023-03-06 13:11:34,BATTERY,AGGRAVATED BATTERY,41.93782044583872,-87.6764311528552,APARTMENT,True,False,D-14,W-09,0.8163201936217409,0.1837,LOW
CR-2025-004448,2023-04-30 21:01:39,BURGLARY,COMMERCIAL,41.792158572541766,-87.621387694958,PARK,False,False,D-01,W-07,0.13986497556664657,0.5734,HIGH
CR-2024-000928,2025-01-10 20:33:08,THEFT,FROM BUILDING,41.81371163250161,-87.63525116286498,PARKING LOT,False,False,D-02,W-10,0.13583182761138587,0.4033,MEDIUM
CR-2023-001095,2025-04-19 08:48:43,ASSAULT,SIMPLE ASSAULT,41.85412813472175,-87.62286741000878,PARKING LOT,False,True,D-12,W-31,0.14473836078800895,0.8553,CRITICAL
CR-2024-002200,2023-08-19 22:03:21,NARCOTICS,SALE/MANUFACTURE,41.88540957855568,-87.61372105202183,COMMERCIAL BUILDING,False,False,D-01,W-41,0.7346628964243216,0.1769,LOW
CR-2025-003536,2025-11-09 05:08:00,CRIMINAL DAMAGE,TO PROPERTY,41.92095841625461,-87.63170115739923,APARTMENT,False,False,D-11,W-43,0.11854064255748713,0.4113,MEDIUM
CR-2025-005879,2025-08-19 02:12:03,ROBBERY,STRONGARM ROBBERY,41.789243855073686,-87.6229387454841,SIDEWALK,False,False,D-11,W-16,0.09096589882955174,0.909,CRITICAL
CR-2023-005067,2023-11-24 00:17:26,BURGLARY,RESIDENTIAL,41.927353410607935,-87.66481068893471,PARKING LOT,False,False,D-12,W-22,0.10547970929903497,0.5963,HIGH
CR-2025-005567,2025-02-19 08:14:04,BURGLARY,COMMERCIAL,41.95200677381328,-87.68216418781168,STREET,False,False,D-03,W-09,0.15185353984511007,0.5654,HIGH
CR-2023-002175,2025-08-16 07:55:01,BATTERY,,41.84755669245716,-87.62908759797622,PARK,False,True,D-06,W-18,0.7497101236877407,0.2503,MEDIUM
CR-2024-001537,2023-10-06 12:25:28,ROBBERY,ARMED ROBBERY,41.93373934008952,-87.61893876154885,PARK,False,False,D-08,W-50,0.12909447955011533,0.8709,CRITICAL
CR-2024-005743,2024-05-06 16:11:16,CRIMINAL DAMAGE,GRAFFITI,41.71933094119817,-87.65653316571925,APARTMENT,True,False,D-02,W-01,0.2585508606814055,0.346,MEDIUM
CR-2024-004294,2025-06-12 15:11:52,BURGLARY,RESIDENTIAL,41.76140997978244,-87.63423439033281,PARK,False,False,D-09,W-03,0.10658755371609123,0.5956,HIGH
CR-2025-004052,2024-10-02 01:46:59,ROBBERY,ARMED ROBBERY,41.74996460524461,-87.67852091177308,ALLEY,False,False,D-12,W-43,0.19156273888704434,0.8084,CRITICAL
CR-2024-003460,2024-08-12 12:23:12,BURGLARY,FORCIBLE ENTRY,41.95354746212835,-87.66791692805894,STREET,False,False,D-07,W-13,0.1365523657525697,0.5756,HIGH
CR-2025-001910,2023-04-08 08:13:35,BATTERY,SIMPLE BATTERY,41.940402018757375,-87.64991410494838,ALLEY,True,False,D-01,W-24,0.8238976652746245,0.1761,LOW
CR-2025-003647,2023-02-27 08:18:49,BURGLARY,RESIDENTIAL,41.882800374081846,-87.73444134201938,ALLEY,False,False,D-11,W-07,0.15130762352006724,0.5658,HIGH
CR-2025-002405,2024-02-11 05:25:23,NARCOTICS,SALE/MANUFACTURE,41.79781220885791,-87.67685150176469,STREET,True,False,D-09,W-44,0.8404724463155353,0.1064,LOW
CR-2023-000705,2024-03-01 07:48:37,MOTOR VEHICLE THEFT,,41.898022912127736,-87.62145654985899,STREET,False,False,D-04,W-31,0.23801658708641396,0.508,HIGH
CR-2024-005716,2023-11-14 03:58:03,MOTOR VEHICLE THEFT,TRUCK,41.84540317007915,-87.6306525527831,RESIDENCE,False,False,D-06,W-28,0.2000910104443603,0.5333,HIGH
CR-2024-005296,2025-08-15 20:17:58,PETTY THEFT,GRAFFITI,41.87688210223797,-87.61726999846952,ALLEY,False,False,D-05,W-12,0.20545690803002256,0.3708,MEDIUM
CR-2023-002214,2024-08-18 20:50:37,ASSAULT,SIMPLE ASSAULT,41.879637269632376,-87.6370424138621,PARKING LOT,False,True,D-11,W-22,0.13243700346332837,0.8676,CRITICAL
CR-2024-004933,2025-02-15 22:25:16,BATTERY,AGGRAVATED BATTERY,41.78693961350932,-87.6260872986881,PARKING LOT,True,False,D-10,W-40,0.7584372848712361,0.2416,LOW
CR-2023-001080,2024-06-21 04:13:44,ASSAULT,SIMPLE ASSAULT,41.86059375677513,-87.72246291398822,STREET,False,False,D-05,W-17,0.21685506517041742,0.7831,CRITICAL
CR-2025-004523,2025-03-15 00:10:20,THEFT,GRAND THEFT,41.90360905705428,-87.72799529136006,STREET,True,False,D-09,W-21,0.1619968819586012,0.3911,MEDIUM
CR-2023-003882,2024-11-18 22:04:40,ASSAULT,,41.900117756674966,-87.63025394586396,PARKING LOT,True,True,D-14,W-13,0.17785423940027598,0.8221,CRITICAL
CR-2023-004995,2025-10-07 21:59:36,BATTERY,AGGRAVATED BATTERY,41.97707250039642,-87.65147098568085,STREET,True,False,D-10,W-36,0.7201642807949186,0.2798,MEDIUM
CR-2024-003766,2025-08-26 02:55:30,ASSAULT,AGGRAVATED ASSAULT,41.87941960320694,-87.63640411955276,COMMERCIAL BUILDING,False,True,D-14,W-09,0.1963221878033703,0.8037,CRITICAL
CR-2024-002965,2024-06-30 10:39:25,MOTOR VEHICLE THEFT,MOTORCYCLE,41.75473245273243,-87.64890160344302,PARK,False,False,D-13,W-06,0.17726197998473756,0.5485,HIGH
CR-2025-000188,2023-09-16 01:43:27,CRIMINAL DAMAGE,GRAFFITI,41.891184809550815,-87.62704986991393,SIDEWALK,False,False,D-13,W-05,0.1217679142553195,0.4098,MEDIUM
CR-2024-005308,2023-12-29 06:33:07,BATTERY,AGGRAVATED BATTERY,41.88370480108432,-87.63373863488974,PARK,False,True,D-10,W-07,0.7548561001862654,0.2451,LOW
CR-2024-001564,2024-03-14 16:21:07,BURGLARY,FORCIBLE ENTRY,41.949853610486585,-87.66352986289124,PARKING LOT,False,False,D-12,W-37,0.09107702248114165,0.6059,HIGH
CR-2024-002641,2024-09-18 23:45:37,BURGLARY,FORCIBLE ENTRY,41.89350341927387,-87.62080633688132,PARKING LOT,False,False,D-12,W-22,0.08661703980499813,0.6089,HIGH
CR-2023-001014,2023-09-30 15:53:28,ASSAULT,AGGRAVATED ASSAULT,41.88124489122912,-87.63717454278448,STREET,False,False,D-10,W-35,0.16014428811486975,0.8399,CRITICAL
CR-2024-004711,2024-07-28 09:33:53,NARCOTICS,POSSESSION OF HEROIN,41.88248253242311,-87.62807732364584,PARKING LOT,False,False,D-11,W-18,0.6712355413790844,0.2192,LOW
CR-2023-002643,2023-06-20 01:49:10,ASSAULT,AGGRAVATED ASSAULT,41.8598465493449,-87.60934935229693,SIDEWALK,False,False,D-08,W-31,0.14871126197469747,0.8513,CRITICAL
CR-2025-003842,2023-07-26 09:02:37,CRIMINAL DAMAGE,TO VEHICLE,41.96828703039631,-87.63725457200113,RESIDENCE,False,False,D-06,W-42,0.10403621124132738,0.4181,MEDIUM
CR-2025-000572,2023-02-14 13:40:04,CRIMINAL DAMAGE,GRAFFITI,41.94493856351432,-87.65498841904837,PARKING LOT,False,False,D-03,W-12,0.13494944072617177,0.4037,MEDIUM
CR-2024-004330,2024-07-04 04:04:56,BATTERY,DOMESTIC BATTERY,41.91268919878952,-87.65079013248773,RESIDENCE,True,False,D-09,W-39,0.6197616814128258,0.3802,MEDIUM
CR-2024-000127,2024-05-13 22:43:52,BATTERY,DOMESTIC BATTERY,41.85325134061283,-87.73561621331159,STREET,True,False,D-09,W-31,0.7694398781395412,0.2306,LOW
CR-2023-003981,2025-03-29 22:16:46,THEFT,PETTY THEFT,41.75939640296531,-87.61061826725063,PARK,False,False,D-13,W-11,0.12138461445199246,0.41,MEDIUM
CR-2023-000834,2023-05-03 00:39:46,BURGLARY,COMMERCIAL,41.96521240053009,-87.64436532863597,APARTMENT,False,False,D-13,W-18,0.09835687030381204,0.6011,HIGH
CR-2024-004720,2023-08-13 09:14:41,CRIMINAL DAMAGE,TO PROPERTY,41.85172686685017,-87.63356676751964,RESIDENCE,False,False,D-10,W-02,0.12437346235346652,0.4086,MEDIUM
CR-2025-001484,2025-10-08 01:02:45,ROBBERY,ARMED ROBBERY,41.84782914059013,-87.72203896754895,RESIDENCE,False,False,D-07,W-29,0.12009352312486524,0.8799,CRITICAL
CR-2023-004443,2025-05-19 18:56:55,MOTOR VEHICLE THEFT,AUTOMOBILE,41.88318137243421,-87.63172597398876,APARTMENT,True,False,D-03,W-47,0.09965394696096237,0.6002,HIGH
CR-2024-001447,2025-01-20 04:52:53,BURGLARY,,41.88974883551414,-87.65622772128415,COMMERCIAL BUILDING,False,False,D-13,W-30,0.11797941972718066,0.588,HIGH
CR-2025-004145,2024-08-10 10:17:46,NARCOTICS,POSSESSION OF COCAINE,41.77669066781184,-87.57373275684961,APARTMENT,True,False,D-12,W-19,0.7446752662509134,0.1702,LOW
CR-2023-002337,2025-08-16 01:23:47,PETTY THEFT,PETTY THEFT,41.89044174171252,-87.64423976517878,SIDEWALK,False,False,D-11,W-40,0.2615664369790413,0.3446,MEDIUM
CR-2023-000990,2024-04-14 22:57:50,BATTERY,DOMESTIC BATTERY,41.92896686530917,-87.68289236329578,PARKING LOT,True,False,D-09,W-42,0.6785577829003713,0.3214,MEDIUM
CR-2023-004599,2025-04-17 20:03:22,NARCOTICS,POSSESSION OF HEROIN,41.71671358103234,-87.64045557573142,PARK,True,False,D-04,W-31,0.8327197931005944,0.1115,LOW
CR-2024-004969,2023-01-14 06:07:35,NARCOTICS,POSSESSION OF HEROIN,41.74732592657832,-87.67677898313151,STREET,True,False,D-07,W-25,0.8562087661366156,0.0959,LOW
CR-2025-003092,2025-01-15 18:50:48,BURGLARY,FORCIBLE ENTRY,41.94717804983989,-87.67027599592039,PARKING LOT,False,False,D-01,W-45,0.12392347798237716,0.5841,HIGH
CR-2025-003920,2025-08-08 00:39:47,BATTERY,DOMESTIC BATTERY,41.8771565919965,-87.63651816467399,ALLEY,True,False,D-03,W-15,0.7689932796653468,0.231,LOW
CR-2024-005389,2024-05-18 00:04:33,THEFT,RETAIL THEFT,41.88394918399076,-87.62867668623443,PARK,False,False,D-13,W-06,0.11146226357802712,0.4147,MEDIUM
CR-2023-002811,2024-06-10 18:16:52,NARCOTICS,POSSESSION OF COCAINE,41.86400048256275,-87.62265023438799,SIDEWALK,True,False,D-12,W-24,0.6844827162848605,0.2103,LOW
CR-2025-000941,2025-02-09 17:42:53,ASSAULT,SIMPLE ASSAULT,41.859584766921806,-87.6386869638873,PARKING LOT,False,True,D-07,W-44,0.22458751216319303,0.7754,CRITICAL
CR-2025-001502,2024-08-30 21:51:29,NARCOTICS,POSSESSION OF HEROIN,41.79281382811335,-87.6623870392275,RESIDENCE,True,False,D-03,W-19,0.7208286955028538,0.1861,LOW
CR-2025-002678,2023-09-09 12:47:31,CRIMINAL DAMAGE,TO PROPERTY,41.85122373206953,-87.74318906099289,ALLEY,False,False,D-08,W-13,0.1556520979961461,0.394,MEDIUM
CR-2025-003839,2023-08-27 22:37:14,NARCOTICS,SALE/MANUFACTURE,41.93437420858417,-87.67281629649293,PARKING LOT,True,False,D-03,W-12,0.7021110694035672,0.1986,LOW
CR-2024-002848,2024-02-02 04:01:25,BATTERY,DOMESTIC BATTERY,41.87210150014836,-87.64097751655477,RESIDENCE,True,True,D-09,W-27,0.7497165130461877,0.2503,MEDIUM
CR-2023-000195,2023-07-05 09:03:10,CRIMINAL DAMAGE,TO VEHICLE,41.93043170657303,-87.64546161656986,APARTMENT,False,False,D-01,W-50,0.10288322237550176,0.4187,MEDIUM
CR-2023-001359,2024-09-03 19:13:59,ROBBERY,ARMED ROBBERY,41.869937592798266,-87.7246761414728,PARKING LOT,False,False,D-04,W-18,0.19262334337015655,0.8074,CRITICAL
CR-2024-002254,2025-04-11 12:42:07,NARCOTICS,SALE/MANUFACTURE,41.79534407940376,-87.63073830715607,ALLEY,True,False,D-07,W-28,0.8407388500218241,0.1062,LOW
CR-2024-000136,2025-10-06 04:27:17,NARCOTICS,POSSESSION OF COCAINE,41.9716632750431,-87.6550953387796,ALLEY,True,False,D-12,W-41,0.716679626948522,0.1889,LOW
CR-2023-002157,2025-11-18 00:13:44,NARCOTICS,POSSESSION OF COCAINE,41.94021383051808,-87.63518150976407,SIDEWALK,False,False,D-05,W-37,0.7258009672373265,0.1828,LOW
CR-2025-003677,2025-11-24 02:21:41,CRIMINAL DAMAGE,GRAFFITI,41.81167905741509,-87.60739825044654,SIDEWALK,False,False,D-13,W-13,0.11081784868803063,0.415,MEDIUM
CR-2023-001086,2023-10-08 00:27:10,THEFT,,41.9420030495349,-87.65226484015503,PARK,True,False,D-02,W-10,0.1379710228260174,0.4023,MEDIUM
CR-2025-004544,2024-11-13 01:03:14,BATTERY,SIMPLE BATTERY,41.77562221653299,-87.64343835660048,APARTMENT,True,True,D-07,W-02,0.8076911767655106,0.1923,LOW
CR-2025-002564,2023-06-21 20:16:59,CRIMINAL DAMAGE,TO PROPERTY,41.78263994893797,-87.62655432063231,APARTMENT,False,False,D-09,W-04,0.07561311706677204,0.4314,MEDIUM
CR-2024-003052,2025-06-09 15:47:22,ROBBERY,ARMED ROBBERY,41.86466968439512,-87.6138571946045,COMMERCIAL BUILDING,False,False,D-06,W-39,0.10897532162458991,0.891,CRITICAL
CR-2025-005093,2025-01-22 11:23:58,BATTERY,SIMPLE BATTERY,41.85761247787804,-87.74639739204,RESIDENCE,True,True,D-07,W-22,0.8291430293440201,0.1709,LOW
CR-2023-002010,2024-08-12 22:19:50,CRIMINAL DAMAGE,GRAFFITI,41.99179873176161,-87.68377365273767,PARKING LOT,False,False,D-12,W-17,0.12029755575826355,0.4105,MEDIUM
CR-2023-000204,2023-12-04 12:14:46,ASSAULT,SIMPLE ASSAULT,41.7819073907928,-87.61613902914854,RESIDENCE,True,False,D-13,W-03,0.1442665422897569,0.8557,CRITICAL
CR-2025-002615,2023-09-27 22:01:06,CRIMINAL DAMAGE,TO VEHICLE,41.98455217015538,-87.64517684689078,RESIDENCE,False,False,D-05,W-43,0.10207843178785331,0.419,MEDIUM
CR-2025-004016,2025-03-24 21:20:42,CRIMINAL DAMAGE,TO VEHICLE,41.89927035292619,-87.61801981595485,COMMERCIAL BUILDING,False,False,D-15,W-49,0.16866558335008966,0.388,MEDIUM
CR-2024-003295,2024-04-07 19:08:12,NARCOTICS,,41.94408425747344,-87.67885522915982,SIDEWALK,True,False,D-03,W-50,0.6684051916977494,0.2211,LOW
CR-2024-000826,2025-12-22 00:51:08,ROBBERY,ARMED ROBBERY,41.78375960753943,-87.63782915732027,APARTMENT,False,False,D-08,W-14,0.19076072943210926,0.8092,CRITICAL
CR-2025-002213,2024-11-25 01:06:42,ROBBERY,ARMED ROBBERY,41.8833555532458,-87.64246486055775,SIDEWALK,False,False,D-01,W-15,0.20158944100476006,0.7984,CRITICAL
CR-2025-000938,2024-12-07 12:13:28,BATTERY,DOMESTIC BATTERY,41.937156639468434,-87.65948443747489,SIDEWALK,True,True,D-03,W-38,0.8029922691532158,0.197,LOW
CR-2023-001788,2023-10-17 21:21:47,BURGLARY,COMMERCIAL,41.86562067623759,-87.63937424089794,ALLEY,False,False,D-15,W-37,0.1111365254634089,0.5926,HIGH
CR-2023-001815,2024-03-21 21:44:23,THEFT,GRAND THEFT,41.88704661706373,-87.63931428771535,PARKING LOT,False,False,D-07,W-23,0.11625042293455741,0.4124,MEDIUM
CR-2023-003339,2024-11-19 12:06:47,ROBBERY,STRONGARM ROBBERY,41.868305747662525,-87.63804684039458,COMMERCIAL BUILDING,True,False,D-14,W-06,0.19867415827282833,0.8013,CRITICAL
CR-2023-004158,2023-05-31 09:01:54,BURGLARY,COMMERCIAL,41.87722091357556,-87.7117690791699,STREET,False,False,D-02,W-31,0.15913661050278627,0.5606,HIGH
CR-2025-001583,2025-04-04 01:57:58,BURGLARY,FORCIBLE ENTRY,41.94060152586881,-87.65213893020159,APARTMENT,False,False,D-12,W-48,0.08590437822664199,0.6094,HIGH
CR-2024-000652,2025-08-23 12:05:14,NARCOTICS,SALE/MANUFACTURE,41.88614764765356,-87.64327701972687,SIDEWALK,False,False,D-04,W-25,0.74052807088976,0.173,LOW
CR-2023-005910,2023-02-03 17:43:22,THEFT,GRAND THEFT,41.87076901012408,-87.7523603342046,APARTMENT,False,False,D-04,W-33,0.22633651016263784,0.361,MEDIUM
CR-2025-001520,2024-01-14 23:20:19,THEFT,PETTY THEFT,41.79415540423973,-87.6250756759758,ALLEY,False,False,D-05,W-11,0.15644111846526113,0.3937,MEDIUM
CR-2023-005937,2023-12-09 17:13:29,ROBBERY,ARMED ROBBERY,41.87275359319213,-87.65267778154994,STREET,False,False,D-11,W-43,0.15273376597446855,0.8473,CRITICAL
CR-2025-002645,2024-01-05 21:27:24,BATTERY,DOMESTIC BATTERY,41.90170601324833,-87.62294967983905,RESIDENCE,True,False,D-15,W-10,0.6655112428843106,0.3345,MEDIUM
CR-2023-002298,2023-09-16 23:05:27,BURGLARY,COMMERCIAL,41.87393683615527,-87.61043089241477,PARKING LOT,True,False,D-10,W-10,0.08396518743204509,0.6107,HIGH
CR-2025-005558,2025-01-04 08:42:07,BURGLARY,,41.78991236240408,-87.63087567500992,ALLEY,False,False,D-07,W-11,0.18734643043788893,0.5418,HIGH
CR-2025-005456,2025-08-20 23:14:14,CRIMINAL DAMAGE,TO PROPERTY,41.85655471314442,-87.62154807278174,SIDEWALK,True,False,D-09,W-12,0.08194215235139184,0.4284,MEDIUM
CR-2023-002670,2025-03-11 00:42:16,BATTERY,DOMESTIC BATTERY,41.86229246756954,-87.6233827840727,STREET,False,True,D-14,W-47,0.7494901838752305,0.2505,MEDIUM
CR-2023-000192,2025-06-26 10:26:38,BATTERY,SIMPLE BATTERY,41.93321734676893,-87.65229212427047,COMMERCIAL BUILDING,True,False,D-14,W-24,0.8004680290959139,0.1995,LOW
CR-2023-001242,2023-10-02 01:15:31,NARCOTICS,POSSESSION OF HEROIN,41.86985664296137,-87.6169061816953,PARK,True,False,D-03,W-05,0.7506696071513519,0.1662,LOW
CR-2023-000447,2023-02-21 23:44:27,BATTERY,SIMPLE BATTERY,41.89883238486557,-87.62006935168615,PARKING LOT,True,False,D-02,W-02,0.7788925709242538,0.2211,LOW
CR-2025-001346,2024-07-27 08:23:32,CRIMINAL DAMAGE,TO VEHICLE,41.8798924688227,-87.72932094211923,SIDEWALK,True,False,D-01,W-42,0.1475037639685797,0.3978,MEDIUM
CR-2023-004260,2025-03-10 19:32:33,CRIMINAL DAMAGE,TO PROPERTY,41.87459589558526,-87.62677001483864,SIDEWALK,False,False,D-07,W-36,0.13049331364239317,0.4058,MEDIUM
CR-2025-005375,2023-01-22 08:16:06,ASSAULT,AGGRAVATED ASSAULT,41.88298227668487,-87.61330623303509,SIDEWALK,False,True,D-13,W-45,0.21116885499621404,0.7888,CRITICAL
CR-2025-005501,2023-01-31 02:18:45,CRIMINAL DAMAGE,GRAFFITI,41.89476129758622,-87.61847222539295,SIDEWALK,False,False,D-10,W-19,0.15037254047990029,0.3965,MEDIUM
CR-2023-001140,2024-04-29 00:28:50,ROBBERY,ARMED ROBBERY,41.85221289906814,-87.63996346978504,APARTMENT,True,False,D-07,W-49,0.2687592676295883,0.7312,HIGH
CR-2025-001229,2024-12-06 08:54:04,THEFT,GRAND THEFT,41.791392127757575,-87.61719994322702,SIDEWALK,True,False,D-04,W-26,0.2138306173847043,0.3669,MEDIUM
CR-2023-000531,2025-10-10 21:32:04,ASSAULT,AGGRAVATED ASSAULT,41.8076191425093,-87.67249284446946,COMMERCIAL BUILDING,False,False,D-10,W-18,0.13596090788776544,0.864,CRITICAL
CR-2024-005857,2023-06-03 20:59:34,BURGLARY,COMMERCIAL,41.89113938759142,-87.75698398081742,ALLEY,False,False,D-12,W-37,0.10936475650446936,0.5938,HIGH
CR-2024-001390,2023-06-18 10:03:26,NARCOTICS,SALE/MANUFACTURE,41.89121775611199,-87.63954647840272,ALLEY,True,False,D-06,W-22,0.7892312966625885,0.1405,LOW
