crime_id,date,category,description,latitude,longitude,location_description,arrest,domestic,district,ward
CR-2025-001481,2023-03-06 13:11:34,BATTERY,AGGRAVATED BATTERY,41.93782044583872,-87.6764311528552,APARTMENT,True,False,D-14,W-09
CR-2025-004448,2023-04-30 21:01:39,BURGLARY,COMMERCIAL,41.792158572541766,-87.621387694958,PARK,False,False,D-01,W-07
CR-2024-000928,2025-01-10 20:33:08,THEFT,FROM BUILDING,41.81371163250161,-87.63525116286498,PARKING LOT,False,False,D-02,W-10
CR-2023-001095,2025-04-19 08:48:43,ASSAULT,SIMPLE ASSAULT,41.85412813472175,-87.62286741000878,PARKING LOT,False,True,D-12,W-31
CR-2024-002200,2023-08-19 22:03:21,NARCOTICS,SALE/MANUFACTURE,41.88540957855568,-87.61372105202183,COMMERCIAL BUILDING,False,False,D-01,W-41
CR-2025-003536,2025-11-09 05:08:00,CRIMINAL DAMAGE,TO PROPERTY,41.92095841625461,-87.63170115739923,APARTMENT,False,False,D-11,W-43
CR-2025-005879,2025-08-19 02:12:03,ROBBERY,STRONGARM ROBBERY,41.789243855073686,-87.6229387454841,SIDEWALK,False,False,D-11,W-16
CR-2023-005067,2023-11-24 00:17:26,BURGLARY,RESIDENTIAL,41.927353410607935,-87.66481068893471,PARKING LOT,False,False,D-12,W-22
CR-2025-005567,2025-02-19 08:14:04,BURGLARY,COMMERCIAL,41.952006773813274,-87.68216418781168,STREET,False,False,D-03,W-09
CR-2023-002175,2025-08-16 07:55:01,BATTERY,,41.84755669245716,-87.62908759797622,PARK,False,True,D-06,W-18
CR-2024-001537,2023-10-06 12:25:28,ROBBERY,ARMED ROBBERY,41.93373934008952,-87.61893876154885,PARK,False,False,D-08,W-50
CR-2024-005743,2024-05-06 16:11:16,CRIMINAL DAMAGE,GRAFFITI,41.71933094119817,-87.65653316571925,APARTMENT,True,False,D-02,W-01
CR-2024-004294,2025-06-12 15:11:52,BURGLARY,RESIDENTIAL,41.76140997978244,-87.63423439033281,PARK,False,False,D-09,W-03
CR-2025-004052,2024-10-02 01:46:59,ROBBERY,ARMED ROBBERY,41.749964605244614,-87.67852091177308,ALLEY,False,False,D-12,W-43
CR-2024-003460,2024-08-12 12:23:12,BURGLARY,FORCIBLE ENTRY,41.95354746212835,-87.66791692805894,STREET,False,False,D-07,W-13
CR-2025-001910,2023-04-08 08:13:35,BATTERY,SIMPLE BATTERY,41.940402018757375,-87.64991410494838,ALLEY,True,False,D-01,W-24
CR-2025-003647,2023-02-27 08:18:49,BURGLARY,RESIDENTIAL,41.882800374081846,-87.73444134201938,ALLEY,False,,D-11,W-07
CR-2025-002405,2024-02-11 05:25:23,NARCOTICS,SALE/MANUFACTURE,41.797812208857906,-87.67685150176469,STREET,True,False,D-09,W-44
CR-2023-000705,2024-03-01 07:48:37,MOTOR VEHICLE THEFT,,41.898022912127736,-87.62145654985899,STREET,False,False,D-04,W-31
CR-2024-005716,2023-11-14 03:58:03,MOTOR VEHICLE THEFT,TRUCK,41.84540317007915,-87.6306525527831,RESIDENCE,False,False,D-06,W-28
CR-2024-005296,2025-08-15 20:17:58,PETTY THEFT,GRAFFITI,41.87688210223797,-87.61726999846952,ALLEY,False,False,D-05,W-12
CR-2023-002214,2024-08-18 20:50:37,ASSAULT,SIMPLE ASSAULT,41.879637269632376,-87.6370424138621,PARKING LOT,False,True,D-11,W-22
CR-2024-004933,2025-02-15 22:25:16,BATTERY,AGGRAVATED BATTERY,41.78693961350932,-87.6260872986881,PARKING LOT,True,False,D-10,W-40
CR-2023-001080,2024-06-21 04:13:44,ASSAULT,SIMPLE ASSAULT,41.86059375677513,-87.72246291398822,STREET,False,False,D-05,W-17
CR-2025-004523,2025-03-15 00:10:20,THEFT,GRAND THEFT,41.903609057054275,-87.72799529136006,STREET,True,False,D-09,W-21
CR-2023-003882,2024-11-18 22:04:40,ASSAULT,,41.900117756674966,-87.63025394586396,PARKING LOT,True,True,D-14,W-13
CR-2023-004995,2025-10-07 21:59:36,BATTERY,AGGRAVATED BATTERY,41.97707250039642,-87.65147098568085,STREET,True,False,D-10,W-36
CR-2024-003766,2025-08-26 02:55:30,ASSAULT,AGGRAVATED ASSAULT,41.87941960320694,-87.63640411955276,COMMERCIAL BUILDING,False,True,D-14,W-09
CR-2024-002965,2024-06-30 10:39:25,MOTOR VEHICLE THEFT,MOTORCYCLE,41.75473245273243,-87.64890160344302,PARK,False,False,D-13,W-06
CR-2025-000188,2023-09-16 01:43:27,CRIMINAL DAMAGE,GRAFFITI,41.891184809550815,-87.62704986991393,SIDEWALK,False,False,D-13,W-05
CR-2025-003236,2023-11-17 15:37:29,NARCOTICS,SALE/MANUFACTURE,,,ALLEY,True,False,D-10,W-49
CR-2024-005308,2023-12-29 06:33:07,BATTERY,AGGRAVATED BATTERY,41.88370480108432,-87.63373863488974,PARK,False,True,D-10,W-07
CR-2024-001564,2024-03-14 16:21:07,BURGLARY,FORCIBLE ENTRY,41.949853610486585,-87.66352986289124,PARKING LOT,False,False,D-12,W-37
CR-2024-002641,2024-09-18 23:45:37,BURGLARY,FORCIBLE ENTRY,41.89350341927387,-87.62080633688132,PARKING LOT,False,False,D-12,W-22
CR-2023-001014,2023-09-30 15:53:28,ASSAULT,AGGRAVATED ASSAULT,41.88124489122912,-87.63717454278448,STREET,False,False,D-10,W-35
CR-2024-004711,2024-07-28 09:33:53,NARCOTICS,POSSESSION OF HEROIN,41.88248253242311,-87.62807732364584,PARKING LOT,False,False,D-11,W-18
CR-2023-002643,2023-06-20 01:49:10,ASSAULT,AGGRAVATED ASSAULT,41.8598465493449,-87.60934935229693,SIDEWALK,False,False,D-08,W-31
CR-2025-003842,2023-07-26 09:02:37,CRIMINAL DAMAGE,TO VEHICLE,41.96828703039631,-87.63725457200113,RESIDENCE,False,False,D-06,W-42
CR-2025-000572,2023-02-14 13:40:04,CRIMINAL DAMAGE,GRAFFITI,41.94493856351432,-87.65498841904837,PARKING LOT,False,False,D-03,W-12
CR-2024-004330,2024-07-04 04:04:56,BATTERY,DOMESTIC BATTERY,41.91268919878952,-87.65079013248773,RESIDENCE,True,False,D-09,W-39
CR-2024-000127,2024-05-13 22:43:52,BATTERY,DOMESTIC BATTERY,41.85325134061283,-87.73561621331159,STREET,True,False,D-09,W-31
CR-2023-003981,2025-03-29 22:16:46,THEFT,PETTY THEFT,41.75939640296531,-87.61061826725063,PARK,False,False,D-13,W-11
CR-2023-000834,2023-05-03 00:39:46,BURGLARY,COMMERCIAL,41.96521240053009,-87.64436532863597,APARTMENT,False,False,D-13,W-18
CR-2024-004720,2023-08-13 09:14:41,CRIMINAL DAMAGE,TO PROPERTY,41.85172686685017,-87.63356676751964,RESIDENCE,False,False,D-10,W-02
CR-2025-001484,2025-10-08 01:02:45,ROBBERY,ARMED ROBBERY,41.84782914059013,-87.72203896754895,RESIDENCE,False,False,D-07,W-29
CR-2023-004443,2025-05-19 18:56:55,MOTOR VEHICLE THEFT,AUTOMOBILE,41.88318137243421,-87.63172597398876,APARTMENT,True,False,D-03,W-47
CR-2024-001447,2025-01-20 04:52:53,BURGLARY,,41.88974883551414,-87.65622772128415,COMMERCIAL BUILDING,False,False,D-13,W-30
CR-2025-004145,2024-08-10 10:17:46,NARCOTICS,POSSESSION OF COCAINE,41.77669066781184,-87.57373275684961,APARTMENT,True,False,D-12,W-19
CR-2023-002337,2025-08-16 01:23:47,PETTY THEFT,PETTY THEFT,41.890441741712515,-87.64423976517878,SIDEWALK,False,False,D-11,W-40
CR-2023-000990,2024-04-14 22:57:50,BATTERY,DOMESTIC BATTERY,41.92896686530917,-87.68289236329578,PARKING LOT,True,,D-09,W-42
CR-2023-004599,2025-04-17 20:03:22,NARCOTICS,POSSESSION OF HEROIN,41.716713581032344,-87.64045557573142,PARK,True,False,D-04,W-31
CR-2024-004969,2023-01-14 06:07:35,NARCOTICS,POSSESSION OF HEROIN,41.74732592657832,-87.67677898313151,STREET,True,False,D-07,W-25
CR-2025-003092,2025-01-15 18:50:48,BURGLARY,FORCIBLE ENTRY,41.947178049839884,-87.67027599592039,PARKING LOT,False,False,D-01,W-45
CR-2025-003920,2025-08-08 00:39:47,BATTERY,DOMESTIC BATTERY,41.8771565919965,-87.63651816467399,ALLEY,True,False,D-03,W-15
CR-2024-005389,2024-05-18 00:04:33,THEFT,RETAIL THEFT,41.88394918399076,-87.62867668623443,PARK,False,False,D-13,W-06
CR-2023-002811,2024-06-10 18:16:52,NARCOTICS,POSSESSION OF COCAINE,41.86400048256275,-87.62265023438799,SIDEWALK,True,False,D-12,W-24
CR-2025-000941,2025-02-09 17:42:53,ASSAULT,SIMPLE ASSAULT,41.859584766921806,-87.6386869638873,PARKING LOT,False,True,D-07,W-44
CR-2025-001502,2024-08-30 21:51:29,NARCOTICS,POSSESSION OF HEROIN,41.792813828113346,-87.6623870392275,RESIDENCE,True,False,D-03,W-19
CR-2025-002678,2023-09-09 12:47:31,CRIMINAL DAMAGE,TO PROPERTY,41.85122373206953,-87.74318906099289,ALLEY,False,False,D-08,W-13
CR-2025-003839,2023-08-27 22:37:14,NARCOTICS,SALE/MANUFACTURE,41.93437420858417,-87.67281629649293,PARKING LOT,True,False,D-03,W-12
CR-2024-002848,2024-02-02 04:01:25,BATTERY,DOMESTIC BATTERY,41.87210150014836,-87.64097751655477,RESIDENCE,True,True,D-09,W-27
CR-2023-000195,2023-07-05 09:03:10,CRIMINAL DAMAGE,TO VEHICLE,41.93043170657303,-87.64546161656986,APARTMENT,False,False,D-01,W-50
CR-2023-001359,2024-09-03 19:13:59,ROBBERY,ARMED ROBBERY,41.869937592798266,-87.7246761414728,PARKING LOT,False,False,D-04,W-18
CR-2024-002254,2025-04-11 12:42:07,NARCOTICS,SALE/MANUFACTURE,41.79534407940376,-87.63073830715607,ALLEY,True,False,D-07,W-28
CR-2024-000136,2025-10-06 04:27:17,NARCOTICS,POSSESSION OF COCAINE,41.9716632750431,-87.6550953387796,ALLEY,True,False,D-12,W-41
CR-2023-002157,2025-11-18 00:13:44,NARCOTICS,POSSESSION OF COCAINE,41.94021383051808,-87.63518150976407,SIDEWALK,False,False,D-05,W-37
CR-2025-003677,2025-11-24 02:21:41,CRIMINAL DAMAGE,GRAFFITI,41.81167905741509,-87.60739825044654,SIDEWALK,False,False,D-13,W-13
CR-2023-001086,2023-10-08 00:27:10,THEFT,,41.942003049534904,-87.65226484015503,PARK,True,False,D-02,W-10
CR-2025-004544,2024-11-13 01:03:14,BATTERY,SIMPLE BATTERY,41.77562221653299,-87.64343835660048,APARTMENT,True,True,D-07,W-02
CR-2025-002564,2023-06-21 20:16:59,CRIMINAL DAMAGE,TO PROPERTY,41.78263994893797,-87.62655432063231,APARTMENT,False,False,D-09,W-04
CR-2024-003052,2025-06-09 15:47:22,ROBBERY,ARMED ROBBERY,41.86466968439512,-87.6138571946045,COMMERCIAL BUILDING,False,False,D-06,W-39
CR-2025-005093,2025-01-22 11:23:58,BATTERY,SIMPLE BATTERY,41.85761247787804,-87.74639739204,RESIDENCE,True,True,D-07,W-22
CR-2023-002010,2024-08-12 22:19:50,CRIMINAL DAMAGE,GRAFFITI,41.99179873176161,-87.68377365273767,PARKING LOT,False,False,D-12,W-17
CR-2023-000204,2023-12-04 12:14:46,ASSAULT,SIMPLE ASSAULT,41.781907390792796,-87.61613902914854,RESIDENCE,True,False,D-13,W-03
CR-2025-002615,2023-09-27 22:01:06,CRIMINAL DAMAGE,TO VEHICLE,41.98455217015538,-87.64517684689078,RESIDENCE,False,False,D-05,W-43
CR-2025-004016,2025-03-24 21:20:42,CRIMINAL DAMAGE,TO VEHICLE,41.89927035292619,-87.61801981595485,COMMERCIAL BUILDING,False,False,D-15,W-49
CR-2024-003295,2024-04-07 19:08:12,NARCOTICS,,41.944084257473435,-87.67885522915982,SIDEWALK,True,False,D-03,W-50
CR-2024-000826,2025-12-22 00:51:08,ROBBERY,ARMED ROBBERY,41.78375960753943,-87.63782915732027,APARTMENT,False,False,D-08,W-14
CR-2025-002213,2024-11-25 01:06:42,ROBBERY,ARMED ROBBERY,41.8833555532458,-87.64246486055775,SIDEWALK,False,False,D-01,W-15
CR-2025-000938,2024-12-07 12:13:28,BATTERY,DOMESTIC BATTERY,41.937156639468434,-87.65948443747489,SIDEWALK,True,True,D-03,W-38
CR-2023-001788,2023-10-17 21:21:47,BURGLARY,COMMERCIAL,41.86562067623759,-87.63937424089794,ALLEY,False,False,D-15,W-37
CR-2023-001815,2024-03-21 21:44:23,THEFT,GRAND THEFT,41.88704661706373,-87.63931428771535,PARKING LOT,False,False,D-07,W-23
CR-2023-003339,2024-11-19 12:06:47,ROBBERY,STRONGARM ROBBERY,41.868305747662525,-87.63804684039458,COMMERCIAL BUILDING,True,False,D-14,W-06
CR-2023-004158,2023-05-31 09:01:54,BURGLARY,COMMERCIAL,41.87722091357556,-87.7117690791699,STREET,False,False,D-02,W-31
CR-2025-001583,2025-04-04 01:57:58,BURGLARY,FORCIBLE ENTRY,41.94060152586881,-87.65213893020159,APARTMENT,False,False,D-12,W-48
CR-2024-000652,2025-08-23 12:05:14,NARCOTICS,SALE/MANUFACTURE,41.88614764765356,-87.64327701972687,SIDEWALK,False,False,D-04,W-25
CR-2023-005910,2023-02-03 17:43:22,THEFT,GRAND THEFT,41.87076901012408,-87.7523603342046,APARTMENT,False,False,D-04,W-33
CR-2025-001520,2024-01-14 23:20:19,THEFT,PETTY THEFT,41.79415540423973,-87.6250756759758,ALLEY,False,False,D-05,W-11
CR-2023-005937,2023-12-09 17:13:29,ROBBERY,ARMED ROBBERY,41.87275359319213,-87.65267778154994,STREET,False,False,D-11,W-43
CR-2025-002645,2024-01-05 21:27:24,BATTERY,DOMESTIC BATTERY,41.90170601324833,-87.62294967983905,RESIDENCE,True,False,D-15,W-10
CR-2023-002298,2023-09-16 23:05:27,BURGLARY,COMMERCIAL,41.87393683615527,-87.61043089241477,PARKING LOT,True,False,D-10,W-10
CR-2025-005558,2025-01-04 08:42:07,BURGLARY,,41.78991236240408,-87.63087567500992,ALLEY,False,False,D-07,W-11
CR-2025-005456,2025-08-20 23:14:14,CRIMINAL DAMAGE,TO PROPERTY,41.85655471314442,-87.62154807278174,SIDEWALK,True,False,D-09,W-12
CR-2023-002670,2025-03-11 00:42:16,BATTERY,DOMESTIC BATTERY,41.86229246756954,-87.6233827840727,STREET,False,True,D-14,W-47
CR-2023-000192,2025-06-26 10:26:38,BATTERY,SIMPLE BATTERY,41.93321734676893,-87.65229212427047,COMMERCIAL BUILDING,True,False,D-14,W-24
CR-2023-001242,2023-10-02 01:15:31,NARCOTICS,POSSESSION OF HEROIN,41.86985664296137,-87.6169061816953,PARK,True,False,D-03,W-05
CR-2023-000447,2023-02-21 23:44:27,BATTERY,SIMPLE BATTERY,41.898832384865564,-87.62006935168615,PARKING LOT,True,False,D-02,W-02
CR-2025-001346,2024-07-27 08:23:32,CRIMINAL DAMAGE,TO VEHICLE,41.8798924688227,-87.72932094211923,SIDEWALK,True,False,D-01,W-42
CR-2023-004260,2025-03-10 19:32:33,CRIMINAL DAMAGE,TO PROPERTY,41.87459589558526,-87.62677001483864,SIDEWALK,False,False,D-07,W-36
CR-2025-005375,2023-01-22 08:16:06,ASSAULT,AGGRAVATED ASSAULT,41.88298227668487,-87.61330623303509,SIDEWALK,False,True,D-13,W-45
CR-2025-005501,2023-01-31 02:18:45,CRIMINAL DAMAGE,GRAFFITI,41.89476129758622,-87.61847222539295,SIDEWALK,False,False,D-10,W-19
CR-2023-001140,2024-04-29 00:28:50,ROBBERY,ARMED ROBBERY,41.85221289906814,-87.63996346978504,APARTMENT,True,False,D-07,W-49
CR-2025-001229,2024-12-06 08:54:04,THEFT,GRAND THEFT,41.791392127757575,-87.61719994322702,SIDEWALK,True,False,D-04,W-26
CR-2023-000531,2025-10-10 21:32:04,ASSAULT,AGGRAVATED ASSAULT,41.8076191425093,-87.67249284446946,COMMERCIAL BUILDING,False,False,D-10,W-18
CR-2024-005857,2023-06-03 20:59:34,BURGLARY,COMMERCIAL,41.89113938759142,-87.75698398081742,ALLEY,False,False,D-12,W-37
CR-2024-001390,2023-06-18 10:03:26,NARCOTICS,SALE/MANUFACTURE,41.89121775611199,-87.63954647840272,ALLEY,True,False,D-06,W-22
CR-2023-005385,2023-03-19 00:19:06,ASSAULT,AGGRAVATED ASSAULT,41.902874362651204,-87.69848983180505,STREET,False,False,D-05,W-12
CR-2023-000036,2025-02-15 10:54:20,ASSAULT,AGGRAVATED ASSAULT,41.87756260941335,-87.60633034516279,SIDEWALK,False,False,D-12,W-18
CR-2024-000706,2023-08-27 14:12:06,CRIMINAL DAMAGE,,41.95751775544163,-87.61199995310197,STREET,False,False,D-02,W-47
CR-2025-004745,2025-09-01 22:32:47,ASSAULT,AGGRAVATED ASSAULT,41.952586977146694,-87.65620088236021,RESIDENCE,False,True,D-06,W-39
CR-2025-000260,2025-06-26 20:33:53,ASSAULT,SIMPLE ASSAULT,41.853058920783184,-87.6216495971143,PARKING LOT,False,,D-08,W-30
CR-2025-001322,2025-11-02 13:47:39,ROBBERY,STRONGARM ROBBERY,41.86175550443987,-87.64157142862192,SIDEWALK,False,False,D-04,W-10
CR-2023-003594,2024-05-28 06:59:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.873852721726806,-87.66017559870515,PARKING LOT,False,False,D-11,W-13
CR-2023-004728,2025-04-02 14:49:15,CRIMINAL DAMAGE,TO PROPERTY,41.89466444615652,-87.72595729016291,ALLEY,False,False,D-02,W-32
CR-2025-000629,2024-04-25 11:32:28,BATTERY,DOMESTIC BATTERY,41.867524822163624,-87.63063653616487,APARTMENT,True,False,D-14,W-44
CR-2024-005071,2023-06-12 20:21:55,ROBBERY,ARMED ROBBERY,41.7635263974371,-87.64962914749364,PARKING LOT,False,False,D-08,W-32
CR-2023-002568,2024-04-01 08:51:06,MOTOR VEHICLE THEFT,MOTORCYCLE,41.88529261322003,-87.61886588208145,PARK,False,False,D-14,W-50
CR-2023-000687,2023-09-16 23:31:27,BURGLARY,COMMERCIAL,41.907081065894886,-87.73066782618874,APARTMENT,False,False,D-15,W-47
CR-2025-000746,2023-10-25 00:01:54,MOTOR VEHICLE THEFT,TRUCK,41.937115048026854,-87.65160897393605,APARTMENT,False,False,D-10,W-26
CR-2024-004441,2023-06-09 03:34:00,BATTERY,AGGRAVATED BATTERY,41.968022994311404,-87.663038588932,STREET,True,False,D-09,W-42
CR-2025-000563,2023-09-15 20:37:06,THEFT,GRAND THEFT,41.78646588663098,-87.64785689625049,APARTMENT,False,False,D-03,W-39
CR-2023-004050,2024-01-27 23:43:49,MOTOR VEHICLE THEFT,MOTORCYCLE,41.842158765675045,-87.63998470519695,PARK,True,False,D-02,W-33
CR-2025-001523,2024-04-17 09:41:40,ASSAULT,AGGRAVATED ASSAULT,41.89548611097434,-87.63484382108022,COMMERCIAL BUILDING,False,False,D-04,W-18
CR-2024-005950,2025-06-26 00:33:46,MOTOR VEHICLE THEFT,TRUCK,41.96105165599284,-87.68015743172126,PARK,False,False,D-06,W-50
CR-2024-001558,2024-12-21 15:08:35,MOTOR VEHICLE THEFT,AUTOMOBILE,41.774043271700535,-87.64789478750396,RESIDENCE,True,True,D-11,W-43
CR-2024-002998,2025-07-26 19:35:29,NARCOTICS,,41.90134766585871,-87.74881326828294,RESIDENCE,True,True,D-09,W-46
CR-2025-004055,2025-01-03 20:57:47,ROBBERY,ARMED ROBBERY,41.754815091470036,-87.67730162896301,PARK,True,False,D-01,W-15
CR-2023-003915,2023-11-06 15:56:17,MOTOR VEHICLE THEFT,AUTOMOBILE,41.77405976222411,-87.61038534003818,COMMERCIAL BUILDING,False,False,D-08,W-05
CR-2023-003660,2023-06-07 21:46:35,CRIMINAL DAMAGE,GRAFFITI,41.887629937928246,-87.63156500953289,ALLEY,False,False,D-11,W-25
CR-2024-000283,2024-06-21 02:27:49,ASSAULT,SIMPLE ASSAULT,41.90763750929644,-87.67546172621834,APARTMENT,False,False,D-04,W-36
CR-2024-004543,2023-06-12 01:05:34,ROBBERY,ARMED ROBBERY,41.82978828641799,-87.57919763981256,PARK,False,False,D-02,W-04
CR-2023-001038,2024-10-26 03:40:44,BURGLARY,FORCIBLE ENTRY,41.88733656724657,-87.61174173344247,ALLEY,False,False,D-02,W-07
CR-2024-002839,2024-05-18 12:43:40,THEFT,PETTY THEFT,41.883496084626906,-87.63727950843683,COMMERCIAL BUILDING,False,False,D-10,W-31
CR-2025-002480,2024-07-03 17:07:28,CRIMINAL DAMAGE,GRAFFITI,41.873318775271315,-87.64524717772814,COMMERCIAL BUILDING,False,False,D-01,W-49
CR-2023-005127,2023-09-01 02:06:30,CRIMINAL DAMAGE,GRAFFITI,41.87883642096959,-87.65007561298037,PARK,False,False,D-02,W-38
CR-2023-004038,2023-02-06 17:08:31,ROBBERY,STRONGARM ROBBERY,41.77683255637454,-87.60059521563394,RESIDENCE,False,False,D-05,W-29
CR-2025-004580,2024-07-17 06:36:59,BURGLARY,RESIDENTIAL,41.93757053986985,-87.65734012560254,COMMERCIAL BUILDING,False,False,D-05,W-32
CR-2024-000304,2024-04-21 22:12:00,BATTERY,SIMPLE BATTERY,41.912825595021914,-87.62537911377021,ALLEY,True,True,D-10,W-27
CR-2023-003891,2023-03-11 17:43:08,ASSAULT,AGGRAVATED ASSAULT,41.87971975881088,-87.59069711255276,STREET,False,True,D-08,W-33
CR-2023-004503,2023-07-14 19:00:46,ROBBERY,ARMED ROBBERY,41.87506091340623,-87.615099936458,RESIDENCE,False,False,D-13,W-04
CR-2023-001857,2024-03-25 16:57:18,THEFT,GRAND THEFT,41.89328956114466,-87.63217230766558,RESIDENCE,False,,D-10,W-21
CR-2025-001799,2023-04-05 01:00:29,BATTERY,SIMPLE BATTERY,41.787303624075655,-87.63468690649884,SIDEWALK,True,True,D-07,W-05
